,method,path,operationId,summary,params,security,tags
68,POST,/postCharge,,postCharge,,"[{""api_key"": [""write:payment""]}, {""OAuth2"": [""write:payment""]}]",Payment
72,POST,/postCustomPaymentMethod,,postCustomPaymentMethod,,"[{""api_key"": [""write:payment""]}, {""OAuth2"": [""write:payment""]}]",Payment
77,POST,/postGroupNote,,postGroupNote,,"[{""api_key"": [""write:group""]}, {""OAuth2"": [""write:group""]}]",Groups
78,POST,/postGuest,,postGuest,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
79,POST,/postGuestDocument,,postGuestDocument,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
80,POST,/postGuestNote,,postGuestNote,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
81,POST,/postGuestPhoto,,postGuestPhoto,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
82,POST,/postGuestsToRoom,,postGuestsToRoom,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
83,POST,/postHousekeeper,,postHousekeeper,,"[{""api_key"": [""write:housekeeping""]}, {""OAuth2"": [""write:housekeeping""]}]",Housekeeping
84,POST,/postHousekeepingAssignment,,postHousekeepingAssignment,,"[{""api_key"": [""write:housekeeping""]}, {""OAuth2"": [""write:housekeeping""]}]",Housekeeping
85,POST,/postHousekeepingStatus,,postHousekeepingStatus,,"[{""api_key"": [""write:housekeeping""]}, {""OAuth2"": [""write:housekeeping""]}]",Housekeeping
90,POST,/postPayment,,postPayment,,"[{""api_key"": [""write:payment""]}, {""OAuth2"": [""write:payment""]}]",Payment
91,POST,/postReservation,,postReservation,,"[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
92,POST,/postReservationDocument,,postReservationDocument,,"[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
93,POST,/postReservationNote,,postReservationNote,,"[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
94,POST,/postRoomAssign,,postRoomAssign,,"[{""api_key"": [""write:room""]}, {""OAuth2"": [""write:room""]}]",Room
95,POST,/postRoomBlock,,postRoomBlock,,"[{""api_key"": [""write:roomblock""]}, {""OAuth2"": [""write:roomblock""]}]",Room
96,POST,/postRoomCheckIn,,postRoomCheckIn,,"[{""api_key"": [""write:room""]}, {""OAuth2"": [""write:room""]}]",Room
97,POST,/postRoomCheckOut,,postRoomCheckOut,,"[{""api_key"": [""write:room""]}, {""OAuth2"": [""write:room""]}]",Room
99,POST,/postVoidPayment,,postVoidPayment,,"[{""api_key"": [""write:payment""]}, {""OAuth2"": [""write:payment""]}]",Payment
103,PUT,/putGuest,,putGuest,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
104,PUT,/putGuestNote,,putGuestNote,,"[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
106,PUT,/putHousekeeper,,putHousekeeper,,"[{""api_key"": [""write:housekeeping""]}, {""OAuth2"": [""write:housekeeping""]}]",Housekeeping
109,PUT,/putReservation,,putReservation,,"[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
110,PUT,/putReservationNote,,putReservationNote,,"[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
111,PUT,/putRoomBlock,,putRoomBlock,,"[{""api_key"": [""write:roomblock""]}, {""OAuth2"": [""write:roomblock""]}]",Room
